policy,outcome,hit,error_m,landing_xy,release_xy,decision_s,release_s,fall_s,seed,blocked_reason,return,episode_s
random,miss,False,0.19520361087110016,"[0.10555600044630062, 0.16420225475582387]","[0.13028745464087346, 0.1822258044206662]",3.3000000000000003,3.509894924733724,0.4821922528362839,84000029,,-13.843804662039265,3.509894924733724
random,miss,False,0.6535842547009895,"[0.004785786036605066, 0.6535667328169784]","[0.048046994953331604, 0.7720824610795003]",0.2,0.3202589270115508,0.5393327497692983,84000030,,-16.05,0.3202589270115508
random,miss,False,0.09498398253668278,"[0.09449224022403907, 0.009652640880678728]","[0.13996041033932688, -0.036965989417913805]",3.2,3.3207428927671314,0.4648330992564002,84000031,,-6.93537442332044,3.3207428927671314
random,miss,False,0.9270882324072036,"[-0.8696182717975244, 0.3213357310101076]","[-0.9667861501325399, 0.43887650898571945]",0.2,0.36715362084877445,0.5435389483225251,84000032,,-16.05,0.36715362084877445
random,miss,False,0.11903621815401651,"[0.05066845208552484, -0.1077141086193795]","[0.09695273114730735, -0.1886956757036681]",2.9000000000000004,3.087660870244497,0.47385625728539504,84000033,,-8.078756504712569,3.087660870244497
random,miss,False,0.24589738558440136,"[-0.24413512845842844, -0.029386447383622158]","[-0.3119425818295577, -0.0048562009613078855]",0.5,0.6345086920639119,0.5172933738390908,84000034,,-16.125,0.6345086920639119
random,miss,False,0.356740303487892,"[-0.2389747606615289, -0.2648673401901379]","[-0.2900536088557326, -0.34483714673863514]",0.2,0.31375322163084873,0.5431452737899913,84000035,,-16.05,0.31375322163084873
random,miss,False,0.18955542752007218,"[-0.1531007744627084, -0.11176498987266198]","[-0.21174614742944503, -0.1982271290881567]",1.6,1.7650387684215865,0.47727433055665947,84000036,,-12.904440260903513,1.7650387684215865
random,miss,False,0.22177769490929078,"[-0.21495975903158762, -0.054567828950401256]","[-0.31873941241357173, -0.04956888623110424]",0.4,0.5895509290757154,0.4805303317031492,84000037,,-15.741502002196084,0.5895509290757154
random,miss,False,0.16811712178321603,"[-0.021424534183904276, 0.1667463821846681]","[0.016556238328584327, 0.21744038311356187]",3.2,3.348555488128761,0.524503552826182,84000038,,-11.489554233531997,3.348555488128761
random,miss,False,1.0982066497251468,"[-0.8118085679524477, -0.7396111779168345]","[-0.94324505893995, -0.8394775227843264]",0.30000000000000004,0.4565214263277017,0.5088374970156865,84000039,,-16.075,0.4565214263277017
random,miss,False,0.11150269798263775,"[-0.017269061982356317, -0.11015730187171827]","[0.02199552989137906, -0.17627626187864445]",1.9000000000000001,2.083718798518005,0.5214509160980666,84000040,,-7.417686782818302,2.083718798518005
random,miss,False,0.18861633523839175,"[-0.02793465032821857, -0.1865362625062525]","[-0.03558271248590608, -0.2318221582969241]",1.9000000000000001,2.0727170985164634,0.46166379844271593,84000041,,-12.895383886097369,2.0727170985164634
random,miss,False,0.15434852394411086,"[-0.14372700276999376, -0.05626735748620129]","[-0.23991811239854213, -0.10774071360324725]",2.4000000000000004,2.6454782293870003,0.5036848004561436,84000042,,-10.238690377213198,2.6454782293870003
random,miss,False,0.6937817889926382,"[0.6541339637026071, -0.23117510304646094]","[0.7785937481556069, -0.3490230465127935]",0.2,0.3744032636406325,0.5148266655262759,84000043,,-16.05,0.3744032636406325
random,miss,False,1.0888022954719652,"[0.7427012986804771, -0.7961690898065268]","[0.8778303436409122, -0.8582055615164759]",0.2,0.3724548950795794,0.5287903970584906,84000044,,-16.05,0.3724548950795794
random,miss,False,0.1293695372906115,"[0.0005133384266001184, -0.12936851882296055]","[-0.036884656989641884, -0.20176579983533083]",1.5,1.742117923582061,0.47651913589347983,84000045,,-8.336296373677378,1.742117923582061
random,miss,False,0.10997821975563617,"[-0.05053545449381336, -0.09767997061692188]","[-0.043351292670115005, -0.19188052388438628]",2.8000000000000003,2.955383114308169,0.5191655744309955,84000046,,-7.5627713184897045,2.955383114308169
random,miss,False,0.12415395875048342,"[-0.10983444942232395, -0.05788436052606698]","[-0.21879789362974766, -0.09865002433090353]",1.2000000000000002,1.3962895252559735,0.5088641370498569,84000047,,-7.948332656429996,1.3962895252559735
random,miss,False,0.1087218501650595,"[0.024387257489992056, -0.10595141516483145]","[-0.030937172868473736, -0.192997428688971]",2.8000000000000003,2.9109400371115814,0.520290781239935,84000048,,-7.497737444571277,2.9109400371115814
random,miss,False,0.3807502096294212,"[0.2945523871503358, -0.24126668513677324]","[0.4014417770227041, -0.27818322558073655]",0.30000000000000004,0.4433071771964201,0.44866271201846886,84000049,,-16.075,0.4433071771964201
random,miss,False,0.15294209294910463,"[-0.11879270354831015, -0.09633056305937311]","[-0.2209600461564094, -0.10347947861946634]",2.3000000000000003,2.483064127686292,0.5047755499968837,84000050,,-10.111398531515398,2.483064127686292
random,miss,False,0.4750546205795097,"[0.41384381744404236, 0.23325991360987014]","[0.5719182032115228, 0.28160020341453557]",0.2,0.3525837120037739,0.49087859992178007,84000051,,-16.05,0.3525837120037739
random,miss,False,0.31686484043491525,"[-0.044236309434658186, 0.3137618141703121]","[-0.056283872090080914, 0.45120827244514444]",0.2,0.41557881419819204,0.5422908576082491,84000052,,-16.05,0.41557881419819204
random,miss,False,0.13319788036205285,"[0.09094008218440403, -0.09732202620803568]","[0.12461051753065827, -0.13281163548443978]",3.0,3.235826531424607,0.5178757965335641,84000053,,-8.949213096554733,3.235826531424607
random,miss,False,0.15948124716660828,"[0.15344799806982137, -0.0434508928122415]","[0.24914385799209976, -0.0705554567896561]",2.5,2.610174607272783,0.5094486332305964,84000054,,-10.644945135577942,2.610174607272783
random,miss,False,0.1896206015499496,"[0.1892584046895031, -0.011714469110848252]","[0.259176736958469, -0.06540739162481454]",2.4000000000000004,2.6021558784372023,0.4930447983295291,84000055,,-13.110289356725385,2.6021558784372023
random,miss,False,0.0849339455778572,"[0.07429940943901939, 0.041150612005599205]","[0.07139461531671357, 0.02618305176944817]",4.5,4.671812383705944,0.4641102289761526,84000056,,-6.832402393236073,4.671812383705944
random,miss,False,0.10913168940130713,"[0.1065713168832908, 0.023500639339060297]","[0.21258716057888594, 0.06849056593081179]",2.5,2.6513728147954456,0.5179820336947165,84000057,,-7.443869971972395,2.6513728147954456
random,miss,False,0.10719348552959151,"[0.101546477505255, -0.03433301976607194]","[0.19978134489829072, -0.048637050458918175]",3.1,3.3306189330759657,0.49822368958618735,84000058,,-7.49463155975923,3.3306189330759657
random,miss,False,0.08656364821285346,"[-0.06282541277766278, -0.05955025357825888]","[-0.04621977871146958, -0.08169595664711635]",3.3000000000000003,3.4505498263939396,0.4682543118662448,84000059,,-6.598553891578379,3.4505498263939396
random,miss,False,0.1822191649435844,"[0.029452609958231693, 0.1798231571277334]","[-0.009245184553772032, 0.23662251144977176]",2.6,2.8299551938083716,0.5043322769970915,84000060,,-12.508893271653779,2.8299551938083716
random,miss,False,0.2687124472285439,"[-0.064794351140434, 0.2607835718672538]","[-0.11570411903538133, 0.3364016605742336]",0.30000000000000004,0.5351092783963747,0.4808108582806277,84000061,,-16.075,0.5351092783963747
random,miss,False,1.1418765218070455,"[1.1114800485420728, 0.2617137610961015]","[1.266571966540715, 0.2775039105455958]",0.2,0.40677127865838003,0.5022668886545476,84000062,,-16.05,0.40677127865838003
random,miss,False,0.39865203963187046,"[0.39330314306333336, 0.06508522381580605]","[0.4905427694898317, 0.11662723440586086]",0.2,0.32585941832315213,0.530058207677176,84000063,,-16.05,0.32585941832315213
random,miss,False,0.10178789363012178,"[0.08662798622503093, 0.05344499314484788]","[0.09480687409744593, 0.10700364749992838]",3.6,3.7257131007389366,0.5158393363869159,84000064,,-7.352254506427689,3.7257131007389366
random,miss,False,0.43618385521940395,"[0.4312101251524413, 0.06568244453488219]","[0.5866230566074141, 0.08282378289916845]",0.2,0.42229796635889594,0.4656683806942873,84000065,,-16.05,0.42229796635889594
random,miss,False,0.866617286430066,"[-0.5252411823226333, -0.6893092350547273]","[-0.629056750242649, -0.8046326561913224]",0.2,0.3364197618730915,0.4974775366917172,84000066,,-16.05,0.3364197618730915
random,miss,False,0.12452367294794413,"[-0.09168378878934075, 0.08426285063821487]","[-0.1284689478903006, 0.1308758228911752]",2.8000000000000003,2.9239057340447014,0.50177542432176,84000067,,-8.370093520579067,2.9239057340447014
random,miss,False,0.3549703395020458,"[-0.1416957853222134, 0.32546312594227766]","[-0.17847634579794225, 0.4066686247637237]",0.2,0.3249119265539461,0.45188334280119397,84000068,,-16.05,0.3249119265539461
random,miss,False,0.15302628709822316,"[0.1523687712579243, -0.014170465356443382]","[0.17424670483816834, -0.05272077428596893]",2.5,2.71851948858889,0.4601128636618433,84000069,,-10.167495749838537,2.71851948858889
random,miss,False,0.2789073796550568,"[-0.14223756075708446, -0.2399120729265718]","[-0.17386429596226505, -0.2912972663888036]",0.4,0.5668161472957461,0.5353856103009573,84000070,,-16.1,0.5668161472957461
random,miss,False,0.19082430315900947,"[-0.18046728509245097, 0.0620118834376249]","[-0.2504080623207733, 0.13432668292478886]",2.6,2.813185143849191,0.4674898894944159,84000071,,-13.268678029851255,2.813185143849191
random,miss,False,0.09086529938947144,"[0.08534787567497618, 0.03118080741268721]","[0.09838450034142085, 0.0896670268444897]",3.3000000000000003,3.467393549638871,0.5314803161306804,84000072,,-6.779201806659947,3.467393549638871
random,miss,False,0.11760085733134841,"[0.11301632600342482, 0.03251571468929704]","[0.1898907676018355, 0.07258781194530683]",3.2,3.4392196738153786,0.50671638740995,84000073,,-8.073363702974714,3.4392196738153786
random,miss,False,0.48495027796306317,"[0.43636720628363457, -0.21156661687673733]","[0.5828551298097816, -0.2460584063328684]",0.30000000000000004,0.5353825680306151,0.503230395660508,84000074,,-16.075,0.5353825680306151
random,miss,False,0.3156417902051715,"[-0.2818746054056041, 0.14204381912410163]","[-0.3562774486904348, 0.10674542458645027]",0.2,0.3220293623880885,0.46860174440509167,84000075,,-16.05,0.3220293623880885
random,miss,False,0.1722219978809012,"[0.1531723373511787, -0.0787315160813371]","[0.22748285387403916, -0.06842080230113667]",2.6,2.7352098341101136,0.5409203697874877,84000076,,-11.670216935879086,2.7352098341101136
random,miss,False,0.9649365086483107,"[-0.814182904256602, 0.5178886599826996]","[-0.9981006997877444, 0.5413879701353475]",0.2,0.4311161944120476,0.5145420782596118,84000077,,-16.05,0.4311161944120476
random,miss,False,0.1756501549897825,"[0.175627132709058, -0.0028438010355056435]","[0.2056487837950292, -0.00870412502043914]",3.1,3.2407751494942816,0.5428620151477014,84000078,,-12.07747975099044,3.2407751494942816
random,miss,False,0.1883580281838021,"[0.02548142464192593, 0.1866264819887784]","[0.004517808840310611, 0.27656010601294456]",2.4000000000000004,2.545817526594366,0.5343564440710856,84000079,,-12.997336516281651,2.545817526594366
random,miss,False,0.13708061138891137,"[-0.13629290228395158, 0.014674426931739593]","[-0.2116902684545946, 0.005966466814090242]",2.8000000000000003,2.958995314927898,0.4655848996377897,84000080,,-9.147596217457453,2.958995314927898
random,miss,False,0.24401327458587058,"[-0.22787718149100356, -0.08726092097746677]","[-0.30522448920996864, -0.08435941411094508]",2.5,2.612821106352152,0.49929029654432927,84000081,,-16.625,2.612821106352152
random,miss,False,0.11316274711230666,"[0.08432971644213433, 0.0754606272091154]","[0.15865548952631175, 0.10622360821220754]",1.8,1.9841592396855587,0.5275799286650374,84000082,,-7.480960315740561,1.9841592396855587
random,miss,False,0.18791856518870154,"[0.18728003493898476, 0.015478231676548791]","[0.27110800259569245, 0.0034088120474220713]",2.3000000000000003,2.4393635788570864,0.44312789969029176,84000083,,-12.933198140255683,2.4393635788570864
random,miss,False,0.12748845477192114,"[0.10815912617577844, -0.06749006982530262]","[0.13786505971626006, -0.1508292050026733]",1.8,2.0256335199687396,0.4962729905066808,84000084,,-8.29693635506087,2.0256335199687396
random,miss,False,0.46085853682996475,"[-0.07587915132426738, -0.45456896656433216]","[-0.06431095600508231, -0.6304410917268719]",0.30000000000000004,0.5251082929529339,0.49011735223018627,84000085,,-16.075,0.5251082929529339
random,miss,False,0.1020339103315,"[-0.012586575282323945, -0.10125461461187324]","[-0.022791338981469275, -0.2162940747138598]",2.5,2.6930331806115553,0.5379973054178324,84000086,,-7.089122806517534,2.6930331806115553
random,hit,True,0.012088203556315659,"[0.012013464677514907, 0.0013421369755074256]","[0.04609974058166266, 0.05804240390388025]",3.6,3.773526961973064,0.5385325781789183,84000087,,7.065414280421557,3.773526961973064
random,miss,False,0.1264491942383324,"[0.08270558533885741, -0.09565137153894077]","[0.1383746291399391, -0.12035739573892656]",1.9000000000000001,2.146701410218968,0.46448341541506843,84000088,,-8.259473070656453,2.146701410218968
random,miss,False,0.3898465848430553,"[-0.11179282291339301, 0.37347386047600206]","[-0.07985701449889673, 0.5455437044135011]",0.2,0.41040140454587104,0.5319639575111772,84000089,,-16.05,0.41040140454587104
random,miss,False,0.14665437337419532,"[-0.009405395656288992, -0.14635246414846095]","[0.007343022613120656, -0.2122446153896909]",3.2,3.3293272509086784,0.501187413057754,84000090,,-9.890533782195948,3.3293272509086784
random,hit,True,0.0633844375183745,"[0.036829568135390116, 0.05158652760635646]","[0.044733051890694896, 0.11507494794728546]",3.2,3.361550972450469,0.5151426062847666,84000091,,6.249091853367876,3.361550972450469
random,miss,False,0.11342746206029133,"[0.017308212682988402, 0.11209912989474659]","[0.029119678858377435, 0.18801342549340871]",2.2,2.429289260758701,0.5099583209570653,84000092,,-7.59515719513345,2.429289260758701
