policy,outcome,hit,error_m,landing_xy,release_xy,decision_s,release_s,fall_s,seed,blocked_reason,return,episode_s
hover,hit,True,0.03866184119361815,"[0.02825378923606984, -0.02639055433832896]","[0.05252899494209446, -0.026734928522283943]",4.3,4.426278581406711,0.49853942323558853,82000000,,6.740464448829561,4.426278581406711
hover,hit,True,0.044672970941738575,"[-0.0172662587784565, 0.041201342703324526]","[-0.039191348981152146, 0.03568129475862654]",4.7,4.818568460290665,0.4641485102689222,82000001,,6.578620452745504,4.818568460290665
hover,hit,True,0.06529942291152073,"[0.059124369162938784, 0.027718650826874167]","[0.07452332098450043, 0.012588744554794116]",3.1,3.235992763248307,0.5086082588177299,82000002,,6.698578440422513,3.235992763248307
hover,hit,True,0.06616530188264094,"[-0.035055111479166, 0.05611582960630853]","[-0.014092601866796325, 0.05944480072636998]",3.9000000000000004,4.088731906212999,0.520317859904589,82000003,,6.484525040343085,4.088731906212999
hover,miss,False,0.10160501245865601,"[0.050107644741807185, -0.08839005880274368]","[0.039421228482775746, -0.07178155514989253]",4.7,4.823835207088021,0.5061942784329464,82000004,,-6.4495158712004494,4.823835207088021
hover,hit,True,0.03042326744118848,"[0.011751775715253931, 0.02806191314462446]","[0.0008216254755313568, 0.06355451177225489]",2.7,2.8271016441366603,0.5195566855313225,82000005,,7.210731456568139,2.8271016441366603
hover,hit,True,0.07689393443611059,"[-0.0736298216829884, -0.02216588622176443]","[-0.0646703752200378, -0.007149393236525631]",4.800000000000001,5.021015923944615,0.5201414323131006,82000006,,6.070039857646313,5.021015923944615
hover,hit,True,0.06271959980417936,"[-0.022767958824734702, 0.0584411520296409]","[-0.02123022493154303, 0.057310423047555625]",4.4,4.645425143374382,0.4511115374225075,82000007,,6.414352074123899,4.645425143374382
hover,hit,True,0.04630614999596907,"[0.043796239568443224, -0.015038248804721724]","[0.03337682868137695, 0.021541847357305063]",3.8000000000000003,3.9379278484436195,0.48308761845221687,82000008,,6.785276601549483,3.9379278484436195
hover,hit,True,0.06088165679166321,"[0.05982883705892468, -0.01127325994885739]","[0.044068038194476425, -0.02613094839736224]",3.6,3.808674708782964,0.49161876906198376,82000009,,6.642398008185448,3.808674708782964
