policy,outcome,hit,error_m,landing_xy,release_xy,decision_s,release_s,fall_s,seed,blocked_reason,return,episode_s
random,miss,False,0.4723043886508765,"[-0.47215967476256393, -0.01169089675722175]","[-0.6413966804077165, -0.02099246280888345]",0.30000000000000004,0.4665229104125406,0.48714490261489607,80000000,,-16.075,0.4665229104125406
random,miss,False,0.17092159690579864,"[-0.15931452075810532, 0.06191183864531519]","[-0.2225186842620418, 0.10334803926341664]",2.9000000000000004,3.0921060664627804,0.5145601302090531,80000001,,-8.331690406028187,3.0921060664627804
random,miss,False,0.19128244906178277,"[-0.14363180719492358, -0.12632845792217137]","[-0.26130303116313325, -0.1480457938915359]",2.1,2.347364717173097,0.48739553303367583,80000002,,-9.0421574467992,2.347364717173097
random,miss,False,0.12148857897657243,"[0.06853310601869153, 0.10031295131326595]","[0.10722610637609821, 0.12423405487676042]",2.7,2.87663690939239,0.4880217575858007,80000003,,-6.497157385400849,2.87663690939239
random,miss,False,0.14819948094012422,"[-0.09786825888850863, -0.11128742091114383]","[-0.138806684477316, -0.18131481946617237]",2.4000000000000004,2.6276945062763644,0.4746455880907454,80000004,,-7.311492117397808,2.6276945062763644
random,miss,False,0.19067377448318074,"[-0.03095098595677359, 0.18814495673274495]","[-0.06454129579798257, 0.23385766804696584]",3.1,3.217713577773896,0.5323391352759802,80000005,,-9.263455342674428,3.217713577773896
random,miss,False,0.7031405929000675,"[0.581798951754615, 0.39486285355942197]","[0.7002077124903431, 0.47973897361544354]",0.2,0.3284583903088298,0.468938692496395,80000006,,-16.05,0.3284583903088298
random,miss,False,0.19954073956179588,"[0.19312288431722197, 0.05020018224932412]","[0.26133873564688337, 0.04736312962359198]",2.9000000000000004,3.1364109845166377,0.4664143339628369,80000007,,-9.640618116650424,3.1364109845166377
random,miss,False,0.24330132916946803,"[0.10261786741560863, -0.22060170004490537]","[0.16193808412469274, -0.24976731001000024]",1.2000000000000002,1.3155038816640408,0.48438451828443235,80000008,,-11.608090959954302,1.3155038816640408
random,miss,False,0.24251187602289725,"[0.09216466963454963, 0.22431603527902194]","[0.11000025910621082, 0.29861642926441345]",2.5,2.620568765346526,0.48310900752501884,80000009,,-11.885741976808037,2.620568765346526
random,miss,False,0.4594250063225268,"[-0.3137617013599137, -0.3355963813782653]","[-0.39920383508280555, -0.34425303368485694]",0.2,0.3104686428612571,0.4793165163034915,80000010,,-16.05,0.3104686428612571
random,miss,False,0.24359944606084172,"[-0.02180276851019261, -0.2426217826297546]","[-0.009641935884129288, -0.3158613014544111]",0.5,0.7241382785124073,0.4659164797593308,80000011,,-11.451011126067769,0.7241382785124073
random,miss,False,0.10038145531858456,"[-0.0410716822210656, -0.09159450579269911]","[-0.07758098083295696, -0.15880162576699652]",2.9000000000000004,3.1184834984183203,0.5260709253540709,80000012,,-5.969004515046542,3.1184834984183203
random,miss,False,0.18901957868674288,"[0.18199373254540985, -0.051055679812373585]","[0.29155403335144175, -0.04831331130591999]",1.0,1.1398668175710633,0.49689292633658283,80000013,,-8.660913719372072,1.1398668175710633
random,hit,True,0.05225267416012574,"[0.03265120153808815, 0.04079510993983742]","[0.007429614667351425, -0.0031470890978032642]",4.9,5.011700207408827,0.48107528868155264,80000014,,6.4379207460636705,5.011700207408827
random,miss,False,0.16357991125339635,"[-0.10374735961113601, 0.1264708375056742]","[-0.11385891113619073, 0.16147208977355723]",3.1,3.324941752161267,0.4709296669263579,80000015,,-8.07850461304556,3.324941752161267
random,miss,False,0.1049753910404035,"[0.07712840035160318, 0.07121125320683835]","[0.07099231221159424, 0.09987823656915613]",4.2,4.3484901705985495,0.4885074944540888,80000016,,-6.41047317581304,4.3484901705985495
random,miss,False,0.1507796194202519,"[0.06193399568741692, 0.13747244746023482]","[0.11619549109683944, 0.22212088182330364]",2.8000000000000003,2.945883877454251,0.4985474083647301,80000017,,-7.506727608952594,2.945883877454251
random,miss,False,0.2206854010279221,"[0.20414612251549985, 0.08382366544563255]","[0.2887658683215104, 0.11350397731596872]",2.6,2.739511606291907,0.48019266584863207,80000018,,-10.662598299611707,2.739511606291907
random,miss,False,0.15222587879623825,"[-0.08637189102735793, 0.12534996855063515]","[-0.07380763705307813, 0.21630632528477198]",2.1,2.257318127867145,0.4799701089544056,80000019,,-7.385829404356422,2.257318127867145
random,miss,False,0.16414408193034197,"[-0.14096008537090304, -0.08410430408119757]","[-0.1924162556583742, -0.12843522618747122]",1.0,1.142609932147991,0.46191763082281173,80000020,,-7.57633081885862,1.142609932147991
random,hit,True,0.058937828772533826,"[-0.05610897683709748, 0.018040243310847404]","[-0.06431505652837405, -0.0069978668057452224]",3.9000000000000004,4.115368982946361,0.5368236967358123,80000021,,6.596152140688825,4.115368982946361
random,hit,True,0.04425151098443861,"[-0.0409604484878698, 0.016746279708593666]","[-0.08133996094098496, 0.003385269994882931]",3.2,3.3714627611810033,0.5380982889940396,80000022,,6.958247379702976,3.3714627611810033
random,hit,True,0.03484987835868737,"[0.034007971339836435, -0.007613928484308894]","[0.1053233927022458, 0.0002497112551075563]",3.2,3.4180773092975594,0.534951765679491,80000023,,7.050059997331443,3.4180773092975594
random,miss,False,0.13842426406792951,"[0.12616090733375415, -0.056962288783648576]","[0.20386896433637283, -0.05782569716252013]",3.1,3.349708704156222,0.48945142046153195,80000024,,-7.14058973861085,3.349708704156222
random,miss,False,0.326763187802384,"[-0.20538921344208783, -0.25414454923215757]","[-0.26444366019083476, -0.30130888454419374]",0.2,0.4430247419950675,0.5334674370908636,80000025,,-16.05,0.4430247419950675
random,miss,False,0.18830595287701438,"[0.06875475220108353, -0.1753052079622507]","[0.07947720155799202, -0.24168631794778134]",2.8000000000000003,2.9951938986721065,0.46442090916971385,80000026,,-9.077670603570416,2.9951938986721065
random,miss,False,0.17284250468602916,"[0.15618150030984237, 0.0740396541530734]","[0.2415203672764541, 0.06780622772363476]",2.2,2.319614652950891,0.5160908508957712,80000027,,-8.238213756313582,2.319614652950891
random,miss,False,0.1451993517010693,"[0.138367881092117, 0.0440134208678283]","[0.23126103964022596, 0.054966890757458885]",2.5,2.742114391014679,0.4948432171213067,80000028,,-7.227821201779113,2.742114391014679
random,miss,False,0.14289631530608468,"[0.05765509162529464, -0.13074879478501839]","[0.1295099839830373, -0.1690771033905329]",1.9000000000000001,2.1023222466354,0.4638921088668349,80000029,,-6.995908262722961,2.1023222466354
random,miss,False,0.4062588085556472,"[0.4053811898186554, -0.026689145176744113]","[0.5423513900996305, -0.023587894456368632]",0.2,0.31267817482781124,0.5213572971708434,80000030,,-16.05,0.31267817482781124
random,miss,False,0.15945427304009058,"[0.09574108822777744, 0.1275119963599688]","[0.17265234650615202, 0.17473579469494074]",2.8000000000000003,2.9803468688135615,0.45308842667898674,80000031,,-7.838971011202934,2.9803468688135615
random,hit,True,0.04996537681397778,"[0.04904649073437191, 0.009538376528841735]","[0.012017979582920349, 0.08570541402464191]",2.8000000000000003,2.9884755499207647,0.48720941211687085,80000032,,6.991785323436693,2.9884755499207647
random,miss,False,0.12975356258180568,"[-0.06584222611810192, 0.11180692403640885]","[-0.05610495885975936, 0.203188376801144]",2.2,2.4497807303485293,0.48655305460138304,80000033,,-6.628516913909945,2.4497807303485293
random,miss,False,0.74943477595723,"[-0.31116770447081893, -0.6817823282459179]","[-0.4036908253957412, -0.7882623215054863]",0.2,0.3659942005869818,0.4791023939744823,80000034,,-16.05,0.3659942005869818
random,miss,False,0.26093498336519927,"[-0.2455135545253987, -0.08837511011648533]","[-0.3199226993522951, -0.10327554607927905]",2.0,2.2215363970087663,0.5058113210480356,80000035,,-12.90581056096257,2.2215363970087663
