policy,outcome,hit,error_m,landing_xy,release_xy,decision_s,release_s,fall_s,seed,blocked_reason,return,episode_s
random,miss,False,0.11804813164844714,"[0.11725552202538912, 0.013656644545516884]","[0.1614776328294465, 0.043445369228637266]",3.5,3.7033815454456507,0.4622859271479248,83000000,,-13.584600866055693,3.7033815454456507
random,miss,False,0.13062754208983557,"[-0.10732705500264059, 0.07446111748350225]","[-0.1384009673467411, 0.08608222159216526]",1.3,1.51887218088801,0.4959576380492992,83000001,,-14.98972172026985,1.51887218088801
random,miss,False,0.23134793596306544,"[0.1050816909533602, 0.20610605449804992]","[0.10950324895770877, 0.272085823186079]",1.8,2.0143748230810017,0.4408840858080289,83000002,,-16.45,2.0143748230810017
random,miss,False,0.10441744051176595,"[-0.0028656317966227196, -0.10437811091140885]","[-0.006485133115237782, -0.10247957961753028]",4.4,4.649753471910756,0.5250559254996726,83000003,,-11.914376176892613,4.649753471910756
random,miss,False,0.14862959698165906,"[-0.1365416133137689, 0.05871239164438463]","[-0.18288521402782837, 0.10286391689398124]",2.8000000000000003,3.0185010969216663,0.46710665922428424,83000004,,-16.7,3.0185010969216663
random,miss,False,0.08739925075680427,"[0.08041915613751198, 0.034225551258982245]","[0.1347179857545298, 0.0639031348186007]",3.5,3.742176460315842,0.5269530685098599,83000005,,-9.64914314553172,3.742176460315842
random,miss,False,0.12034511974192158,"[0.033448023220997034, -0.11560353622750943]","[-0.0007758311911908594, -0.22824593389339662]",1.6,1.7771926458067016,0.4968122301956346,83000006,,-13.451842403560903,1.7771926458067016
random,miss,False,0.19288703598321894,"[0.05748459772454035, 0.1841220510282225]","[0.09077909482082411, 0.2521542563746129]",2.5,2.620773699689781,0.5345236097616086,83000007,,-16.625,2.620773699689781
random,miss,False,0.053079594443304484,"[-0.0364767720401421, -0.038560192528009865]","[-0.08788233003494839, -0.0478786025371392]",3.1,3.212148215763173,0.4853199913713945,83000008,,-6.53590209141605,3.212148215763173
random,miss,False,0.0737212161915528,"[-0.011482735191439025, -0.07282145637986756]","[-0.0032935735174529357, -0.10980629756656912]",3.2,3.356079220491459,0.4447978710276123,83000009,,-8.196761072976042,3.356079220491459
random,miss,False,0.15048936746434727,"[-0.1002646192716411, -0.1122232410961838]","[-0.12912469907233254, -0.19107697446751387]",2.6,2.7191146069127394,0.5294060458925003,83000010,,-16.65,2.7191146069127394
random,miss,False,0.10552825124394562,"[-0.018069685417153064, 0.10396969885274476]","[-0.05447456695209754, 0.17038256503076102]",2.5,2.6451343308885344,0.48322866199604647,83000011,,-11.585132381628316,2.6451343308885344
random,hit,True,0.030396817214967505,"[-0.00024065316145411436, -0.030395864568326183]","[0.058087803219325655, -0.03118260749756002]",3.1,3.3390697465185712,0.5160665375533326,83000012,,6.647520939499909,3.3390697465185712
random,miss,False,0.47765440041516016,"[0.4621533168933328, 0.12069812724502765]","[0.5612509972495306, 0.15117848644139353]",0.4,0.5400487272182621,0.5134749376196087,83000013,,-16.1,0.5400487272182621
random,miss,False,0.945191536087583,"[0.40725667346934213, -0.8529531299000492]","[0.49140981802701245, -0.9926113842477002]",0.2,0.44247749187158636,0.483021964218676,83000014,,-16.05,0.44247749187158636
random,miss,False,0.08093298110073105,"[0.06013987705719048, 0.05416034174003431]","[0.08996943480175783, 0.08422512785933803]",3.4000000000000004,3.5365393483918695,0.49562453996544603,83000015,,-8.943842143657056,3.5365393483918695
random,miss,False,0.10535217435186123,"[-0.05430571549264249, 0.09027718374814944]","[-0.062129665657246175, 0.1267792856596297]",3.2,3.448854727750497,0.5402063630896315,83000016,,-11.736925400415604,3.448854727750497
random,miss,False,1.0977808212339215,"[-0.9789526502027278, -0.4967639682284524]","[-1.087381722577299, -0.5146352475850926]",0.30000000000000004,0.45855776960805106,0.49171295070897647,83000017,,-16.075,0.45855776960805106
random,miss,False,0.24007827888840907,"[-0.23636232485044045, 0.04207649445136305]","[-0.31359215587862704, 0.09301404586777925]",1.1,1.249458751167873,0.4969807718036644,83000018,,-16.275,1.249458751167873
random,miss,False,0.11609948976324085,"[0.05186202326124825, -0.10387214288024779]","[0.08543680465181505, -0.1882449177590322]",2.0,2.153694585372859,0.49473964842663176,83000019,,-12.92443220205304,2.153694585372859
random,miss,False,0.1230180353863407,"[0.07487525354169434, -0.097607035798563]","[0.08298223762907599, -0.20818740746475572]",2.4000000000000004,2.575282721818929,0.5304057781720826,83000020,,-14.058398143946855,2.575282721818929
random,miss,False,0.14302547779383534,"[-0.11390718091468152, -0.08649532608311794]","[-0.20794592062487263, -0.0991209284596809]",0.6000000000000001,0.8254598215013648,0.5402245586401606,83000021,,-16.15,0.8254598215013648
random,miss,False,0.20261567260733837,"[-0.13370250519203186, 0.15223912404995907]","[-0.20484040111656032, 0.18639347745773913]",2.0,2.239241338212445,0.5272230499339544,83000022,,-16.5,2.239241338212445
